id	entry	route	static	test_target	test_source	test_registered	suite_vlen128	suite_vlen256	suite_vlen512	status
45	CalculateSignedClampingWithRangeBitMasks (6778)	16-bit RVV narrowing/clamp helper	PASS	internal-tensor_utils_test	internal/tensor_utils_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
46	ClampWithRangeAndStore（uint8）(6799)	16-bit RVV narrowing/clamp helper	PASS	internal-tensor_utils_test	internal/tensor_utils_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
47	ClampWithRangeAndStore（int8）(6806)	16-bit RVV narrowing/clamp helper	PASS	internal-tensor_utils_test	internal/tensor_utils_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
48	Tanh16bitPrecision（uint8）(6818)	tensor_utils::RvvTanh16BitPrecisionUint8	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
49	Tanh16bitPrecision（int8）(6927)	tensor_utils::RvvTanh16BitPrecisionInt8	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
50	Logistic16bitPrecision（uint8）(7022)	tensor_utils::RvvLogistic16BitPrecisionUint8	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
51	Logistic16bitPrecision（int8）(7115)	tensor_utils::RvvLogistic16BitPrecisionInt8	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
52	MaximumElementwise (7230)	rvv_optimized_ops::MaximumInt8	PASS	maximum_minimum_test	maximum_minimum_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
53	MaximumScalarBroadcast (7251)	rvv_optimized_ops::MaximumScalarInt8	PASS	maximum_minimum_test	maximum_minimum_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
54	MinimumElementwise (7274)	rvv_optimized_ops::MinimumInt8	PASS	maximum_minimum_test	maximum_minimum_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
55	MinimumScalarBroadcast (7295)	rvv_optimized_ops::MinimumScalarInt8	PASS	maximum_minimum_test	maximum_minimum_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
56	PReluScalarBroadcast (7395)	rvv_optimized_ops::PReluScalarFloat	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
57	PReluElementWise (7444)	rvv_optimized_ops::PReluElementwiseFloat	PASS	activations_test	activations_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
58	ArgMinVector<float> (7548)	rvv_optimized_ops::ArgMinFloat	PASS	arg_min_max_test	arg_min_max_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
59	ArgMaxVector<float> (7604)	rvv_optimized_ops::ArgMaxFloat	PASS	arg_min_max_test	arg_min_max_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
60	ArgMaxVector<int8_t> (7660)	rvv_optimized_ops::ArgMaxInteger<int8_t>	PASS	arg_min_max_test	arg_min_max_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
61	ArgMaxVector<uint8_t> (7709)	rvv_optimized_ops::ArgMaxInteger<uint8_t>	PASS	arg_min_max_test	arg_min_max_test.cc	PASS	PASS	PASS	PASS	STATIC-PASS
